Año,Formación Política,Origen,Fuente,Tipo,Concepto,Cuantia
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"1070570,89"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"53415,41"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"85655,39"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"476114,45"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"192107,68"
2011,Unión Progreso y Democracia,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"361224,83"
2011,Unión Progreso y Democracia,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","1039982,98"
2011,Unión Progreso y Democracia,Privada,Particulares,Particulares,Donaciones,"132232,82"
2011,Unión Progreso y Democracia,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"95858,09"
2011,Unión Progreso y Democracia,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"2947216,45"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"476241,2"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"94459,01"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"976701,05"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"67108,48"
2011,Unión del Pueblo Navarro,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"105358,37"
2011,Unión del Pueblo Navarro,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"409851,56"
2011,Unión del Pueblo Navarro,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"96196,24"
